date,vemquartile,outcome,value,type
2021-03-15,3,deaths,4.7267333764853525,counterfactual
2021-03-15,4,cases,-548.2622327261179,counterfactual
2021-03-15,4,hosps,15.590964472349317,counterfactual
2021-03-15,4,deaths,7.497397923180526,counterfactual
2021-03-22,1,cases,2783.6342110285204,counterfactual
2021-03-22,1,hosps,80.92196107756382,counterfactual
2021-03-22,1,deaths,6.36751527938539,counterfactual
2021-03-22,2,cases,881.6269426236554,counterfactual
2021-03-22,2,hosps,-8.93466659558257,counterfactual
2021-03-22,2,deaths,-5.601445937012396,counterfactual
2021-03-22,3,cases,-223.8978919258331,counterfactual
2021-03-22,3,hosps,-9.175541482043162,counterfactual
2021-03-22,3,deaths,8.586702131427161,counterfactual
2021-03-22,4,cases,-655.9765225246692,counterfactual
2021-03-22,4,hosps,11.063258056584928,counterfactual
2021-03-22,4,deaths,8.046035404947704,counterfactual
2021-03-29,1,cases,3461.063072357008,counterfactual
2021-03-29,1,hosps,73.7741615661727,counterfactual
2021-03-29,1,deaths,3.4831040254953214,counterfactual
2021-03-29,2,cases,1129.0802953865202,counterfactual
2021-03-29,2,hosps,29.621145329907574,counterfactual
2021-03-29,2,deaths,7.682710863197222,counterfactual
2021-03-29,3,cases,123.89846813454827,counterfactual
2021-03-29,3,hosps,4.338564215692054,counterfactual
2021-03-29,3,deaths,-2.7302226882552403,counterfactual
2021-03-29,4,cases,-633.2343105506586,counterfactual
2021-03-29,4,hosps,6.430781142027069,counterfactual
2021-03-29,4,deaths,5.193602298693662,counterfactual
2021-04-05,1,cases,3394.1410746060014,counterfactual
2021-04-05,1,hosps,76.43692950027577,counterfactual
2021-04-05,1,deaths,-1.0017804406654867,counterfactual
2021-04-05,2,cases,910.2480139277379,counterfactual
2021-04-05,2,hosps,24.980928816542644,counterfactual
2021-04-05,2,deaths,1.10789684430905,counterfactual
2021-04-05,3,cases,-234.9437363628398,counterfactual
2021-04-05,3,hosps,-4.249111754272369,counterfactual
2021-04-05,3,deaths,5.136353944049323,counterfactual
2021-04-05,4,cases,-755.9822511018441,counterfactual
2021-04-05,4,hosps,-24.885401942486144,counterfactual
2021-04-05,4,deaths,-1.66973195240632,counterfactual
2021-04-12,1,cases,3250.378792307659,counterfactual
2021-04-12,1,hosps,116.47096081863768,counterfactual
2021-04-12,1,deaths,10.015335996969078,counterfactual
2021-04-12,2,cases,888.3447320324634,counterfactual
2021-04-12,2,hosps,16.49803820810001,counterfactual
2021-04-12,2,deaths,8.699517048192277,counterfactual
2021-04-12,3,cases,-185.358431456088,counterfactual
2021-04-12,3,hosps,0.24953965329151873,counterfactual
2021-04-12,3,deaths,2.5680944324454726,counterfactual
2021-04-12,4,cases,-843.5981173325365,counterfactual
2021-04-12,4,hosps,-31.147777233006888,counterfactual
2021-04-12,4,deaths,4.016617726054395,counterfactual
2021-04-19,1,cases,2851.9557583544356,counterfactual
2021-04-19,1,hosps,103.86903788111229,counterfactual
2021-04-19,1,deaths,8.486805226288308,counterfactual
2021-04-19,2,cases,657.6016640825612,counterfactual
2021-04-19,2,hosps,11.330307836023003,counterfactual
2021-04-19,2,deaths,-8.065531650803177,counterfactual
2021-04-19,3,cases,14.566393327442086,counterfactual
2021-04-19,3,hosps,3.054547909561678,counterfactual
2021-04-19,3,deaths,2.8390377676349736,counterfactual
2021-04-19,4,cases,-557.5944230575325,counterfactual
2021-04-19,4,hosps,-14.915232105076814,counterfactual
2021-04-19,4,deaths,-2.2481665154791335,counterfactual
2021-04-26,1,cases,2310.052608811541,counterfactual
2021-04-26,1,hosps,95.60521368835259,counterfactual
2021-04-26,1,deaths,-1.0649832381855076,counterfactual
2021-04-26,2,cases,448.7404084440569,counterfactual
2021-04-26,2,hosps,22.904686753318828,counterfactual
2021-04-26,2,deaths,1.9374745928088966,counterfactual
2021-04-26,3,cases,-73.87980055906044,counterfactual
2021-04-26,3,hosps,20.684636061688117,counterfactual
2021-04-26,3,deaths,3.8223881317636526,counterfactual
2021-04-26,4,cases,-389.57090714343616,counterfactual
2021-04-26,4,hosps,-28.352075632233323,counterfactual
2021-04-26,4,deaths,-0.45474621921573866,counterfactual
2021-05-03,1,cases,1687.2381929543858,counterfactual
2021-05-03,1,hosps,59.40171525892566,counterfactual
2021-05-03,1,deaths,11.18258868295564,counterfactual
2021-05-03,2,cases,158.57254283152463,counterfactual
2021-05-03,2,hosps,13.130568748475614,counterfactual
2021-05-03,2,deaths,-8.387929265516835,counterfactual
